Designator,Mid X,Mid Y,Rotation,Layer
3.3V1,36.1,9.6,0.0,top
BYP1,38.3,17.148983,90.0,top
C1,67.931499,31.100781,90.0,top
C2,60.79333,22.872813,0.0,top
C3,60.79333,25.674263,0.0,top
C4,70.4765,18.1685,270.0,top
C5,63.67833,36.354263,90.0,top
C6,16.1791,21.05,180.0,top
C7,61.95333,36.354263,90.0,top
C8,16.25,10.7,180.0,top
D1,7.0,14.5,90.0,top
D2,7.0,23.4,90.0,top
D3,7.0,18.923,90.0,top
D4,53.61,27.522,270.0,top
D5,74.6,11.923,270.0,top
D6,57.19333,29.322813,90.0,top
DIVIDER1,24.2207,34.9,0.0,top
F1,38.3,22.055383,180.0,top
GND1,34.2,9.6,0.0,top
H1,6.6,32.4,0.0,bottom
H2,44.8,32.4,0.0,bottom
H3,40.11,38.9,90.0,top
H4,83.0,32.5,0.0,bottom
H5,21.4,25.3,0.0,top
H6,76.0,25.1,270.0,top
I2C_PU1,34.5209,14.4336,90.0,top
J1,25.72,76.125,0.0,bottom
J10,23.4,8.775,0.0,top
J11,23.4,15.0166,0.0,top
J12,17.4,46.9625,0.0,top
J13,72.0,46.965,0.0,top
J14,57.0,18.0822,90.0,top
J2,44.11,60.675,0.0,top
J3,63.86,76.125,0.0,bottom
J4,8.46,70.265,180.0,top
J5,42.980095,9.497082,0.0,top
J6,11.0,75.5,90.0,top
J7,8.4,75.5,90.0,top
J8,73.7265,18.2035,90.0,top
J9,68.6965,10.5035,0.0,top
LOGO1,23.7,19.3,0.0,top
LOGO2,82.9,14.8,0.0,bottom
Q1,49.15,28.7,0.0,top
QWIIC_LED1,3.0,18.8437,270.0,top
R1,22.1707,37.4207,180.0,top
R10,47.65,23.9,180.0,top
R11,69.531499,26.000781,270.0,top
R12,65.231499,31.050781,270.0,top
R13,60.79333,28.674263,0.0,top
R14,16.1791,18.2,0.0,top
R15,29.9,15.975,0.0,top
R16,29.85,13.075,0.0,top
R2,26.5457,37.4207,180.0,top
R3,5.2,14.4328,270.0,top
R4,5.2,23.3207,270.0,top
R5,42.96,78.4,0.0,top
R6,46.76,78.4,180.0,top
R7,5.2,18.8937,270.0,top
R8,49.3,18.555383,270.0,top
R9,46.8,18.555383,270.0,top
S1,59.5,79.83825,180.0,top
S2,32.4,79.83825,180.0,top
S3,69.9,79.83825,180.0,top
S4,19.2,78.5,270.0,top
S5,24.8,78.5,270.0,top
SWDIO1,32.3,9.6,0.0,top
U1,44.8,74.67,270.0,top
U2,42.8,18.555383,180.0,top
U3,66.181499,26.150681,0.0,top
U4,60.71833,31.847813,180.0,top
U5,16.1291,14.7,90.0,top
UNK3V3_LED1,3.0,23.3207,270.0,top
UNK3V3_MEAS1,51.57,36.22,0.0,top
UNK5V_LED1,3.0,14.4207,270.0,top
UNK5V_MEAS1,51.53,33.3,0.0,top
VE1,59.2064,42.1,0.0,top
VIN1,30.4,9.6,0.0,top
V_BATT1,28.5,9.6,0.0,top
